Course Name,Description,Skills,Majors,Careers
CGO4M - Geomatics: Geotechnologies in Action,"This course provides a foundation for students who are considering pursuing a career that requires hands-on knowledge of computer-based spatial technologies. Students will analyse and propose solutions to real-life issues related to spatial organization, such as determining transportation routes, appropriate locations for community services, or potential conservation and preservation areas. Students will extend their ability to use geographic information systems (GIS), global positioning systems (GPS), and remote sensing and to create maps, charts, and graphs. Throughout the course, students will apply the concepts of geographic thinking and the geographic inquiry process to investigate various issues related to spatial organization.","Geographic Information Systems (GIS), Global Positioning Systems (GPS), Remote Sensing, Spatial Analysis, Map Creation, Chart and Graph Creation, Geographic Thinking, Inquiry Process, Problem Solving, Data Interpretation","Geography, Geomatics, Environmental Science, Urban Planning, Civil Engineering, Geography Information Science (GIS), Environmental Studies, Cartography, Spatial Data Science","GIS Analyst, Urban Planner, Cartographer, Environmental Consultant, Remote Sensing Specialist, Transportation Planner, Geospatial Data Analyst, Environmental Researcher, Conservation Specialist"
CGR4M - The Environment and Resource Management,"This course investigates interactions between natural and human systems, with a particular emphasis on the impacts of human activity on ecosystems and natural processes. Students will use the geographic inquiry process, apply the concepts of geographic thinking, and employ a variety of spatial skills and technologies to analyse these impacts and propose ways of reducing them. In the course of their investigations, they will assess resource management and sustainability practices, as well as related government policies and international accords. They will also consider questions of individual responsibility and environmental stewardship as they explore ways of developing a more sustainable relationship with the environment.","Geographic Inquiry, Spatial Analysis, Environmental Impact Assessment, Resource Management, Sustainability Practices, Policy Analysis, Environmental Stewardship, Critical Thinking, Problem Solving, Data Interpretation","Environmental Science, Geography, Urban Planning, Sustainability Studies, Environmental Policy, Natural Resource Management, Ecology, Environmental Studies, Climate Science, Geomatics","Environmental Consultant, Sustainability Specialist, Urban Planner, Resource Manager, Policy Analyst, Environmental Educator, Climate Change Analyst, Conservation Specialist, GIS Analyst, Government Policy Advisor"
CGU4M - World Geography: Urban Patterns and Population Issues,"The world's population is growing, it is moving and intermixing, and it is increasingly found in cities. This course explores these changes and the challenges that come with them. Students will investigate the forces that are shaping the world's communities, the patterns of interaction between these communities, the quality of life within them, and their impact on the world around them. Students will apply the concepts of geographic thinking, the geographic inquiry process, and spatial skills and technologies as they investigate issues related to population change and urban life and propose ways of enhancing the sustainability of communities around the world.","Geographic Inquiry, Spatial Analysis, Population Studies, Urban Planning, Sustainability Analysis, Data Interpretation, Social Research, Community Development, Critical Thinking, Problem Solving","Urban Studies, Geography, Environmental Science, Sociology, Social Work, City Planning, Public Policy, Demography, Sustainable Development, Global Studies","Urban Planner, Demographer, Social Researcher, Sustainability Specialist, City Administrator, Public Policy Advisor, Community Development Coordinator, Environmental Consultant, Population Analyst"
CGW4U - Canadian and World Issues: A Geographic Analysis,"In this course, students will address the challenge of creating a more sustainable and equitable world. They will explore issues involving a wide range of topics, including economic disparities, threats to the environment, globalization, human rights, and quality of life, and analyse government policies, international agreements, and individual responsibilities relating to them. Students will apply the concepts of geographic thinking and the geographic inquiry process, including the use of spatial technologies, to investigate these complex issues and their impacts on natural and human communities around the world.","Geographic Inquiry, Spatial Analysis, Policy Analysis, Critical Thinking, Economic Analysis, Environmental Impact Assessment, Globalization Studies, Human Rights Research, Data Interpretation, Problem Solving","Global Studies, Political Science, International Relations, Sociology, Economics, Environmental Studies, Public Policy, Human Rights, Development Studies, Geography","International Relations Specialist, Policy Analyst, Human Rights Advocate, Sustainability Consultant, Environmental Analyst, Economist, Global Development Coordinator, Public Affairs Advisor, NGO Worker, Government Analyst"
"CHI4U - Canada: History, Identity and Culture","This course traces the history of Canada, with a focus on the evolution of our national identity and culture as well as the identity and culture of various groups that make up Canada. Students will explore various developments and events, both national and international, from precontact to the present, and will examine various communities in Canada and how they have contributed to the development of identity and heritage in Canada. Students will investigate the development of culture and identity, including national identity, in Canada and how and why they have changed throughout the country’s history. They will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, as they investigate the people, events, and forces that have shaped Canada.","Historical Thinking, Historical Inquiry, Evidence Analysis, Critical Thinking, Cultural Studies, Identity Research, Social Research, Data Interpretation, Event Analysis, Community Studies","History, Canadian Studies, Sociology, Anthropology, Political Science, Cultural Studies, Social Studies, Indigenous Studies, Heritage Conservation, Education","Historian, Archivist, Museum Curator, Cultural Analyst, Social Researcher, Educator, Public Policy Analyst, Heritage Consultant, Indigenous Affairs Specialist, Government Researcher"
CHY4U - World History: The West and the World,"This course traces major developments and events in world history since approximately 1450. Students will explore social, economic, and political changes, the historical roots of contemporary issues, and the role of conflict and cooperation in global interrelationships. They will extend their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, as they investigate key issues and ideas and assess societal progress or decline in world history.","Historical Thinking, Historical Inquiry, Social Analysis, Economic Analysis, Political Analysis, Conflict Resolution, Critical Thinking, Global Studies, Evidence Interpretation, Issue Assessment","History, International Relations, Political Science, Sociology, Global Studies, Economics, Anthropology, Peace and Conflict Studies, International Development, Cultural Studies","Historian, Diplomat, International Relations Specialist, Policy Analyst, Sociologist, Economist, Peace Negotiator, NGO Worker, International Development Expert, Educator"
CIA4U - Analysing Current Economic Issues,"This course examines current Canadian and international economic issues, developments, policies, and practices from diverse perspectives. Students will explore the decisions that individuals and institutions, including governments, make in response to economic issues such as globalization, trade agreements, economic inequalities, regulation, and public spending. Students will apply the concepts of economic thinking and the economic inquiry process, as well as economic models and theories, to investigate, and develop informed opinions about, economic trade-offs, growth, and sustainability and related economic issues.","Economic Analysis, Critical Thinking, Policy Analysis, Globalization Studies, Trade Analysis, Economic Modelling, Decision-Making, Public Spending Analysis, Sustainability Assessment, Regulatory Analysis","Economics, International Business, Public Policy, Political Science, Business Administration, Development Studies, Global Studies, Finance, Trade and Commerce, Environmental Economics","Economist, Policy Analyst, International Trade Specialist, Business Consultant, Financial Analyst, Public Sector Consultant, Sustainability Consultant, Economic Researcher, Government Economist, Global Affairs Specialist"
CLN4U - Canadian and International Law,"This course explores a range of contemporary legal issues and how they are addressed in both Canadian and international law. Students will develop an understanding of the principles of Canadian and international law and of issues related to human rights and freedoms, conflict resolution, and criminal, environmental, and workplace law, both in Canada and internationally. Students will apply the concepts of legal thinking and the legal studies inquiry process, and will develop legal reasoning skills, when investigating these and other issues in both Canadian and international contexts.","Legal Reasoning, Critical Thinking, Human Rights Analysis, Conflict Resolution, Criminal Law, Environmental Law, Workplace Law, International Law, Legal Research, Legal Writing, Case Analysis","Law, Political Science, International Relations, Human Rights, Environmental Studies, Criminal Justice, Public Policy, Sociology, Legal Studies, Conflict Resolution","Lawyer, Legal Advisor, Human Rights Advocate, Criminal Defense Attorney, Corporate Lawyer, Environmental Lawyer, Policy Analyst, International Relations Specialist, Mediator, Judge, Legal Researcher"
CPW4U - Canadian and World Politics,"This course explores various perspectives on issues in Canadian and world politics. Students will explore political decision making and ways in which individuals, stakeholder groups, and various institutions, including governments, multinational corporations, and non-governmental organizations, respond to and work to address domestic and international issues. Students will apply the concepts of political thinking and the political inquiry process to investigate issues, events, and developments of national and international political importance, and to develop and communicate informed opinions about them.","Political Analysis, Critical Thinking, Policy Analysis, Decision Making, Research, Communication, Advocacy, Negotiation, International Relations, Political Strategy, Stakeholder Engagement","Political Science, International Relations, Public Policy, Law, Sociology, History, Economics, Public Administration, Global Studies, Governance","Politician, Political Analyst, Public Policy Consultant, Diplomat, Lobbyist, Political Advisor, NGO Worker, International Relations Specialist, Public Relations Manager, Government Official, Diplomatic Service Officer"
ENG3U / ENG4U - English,"This course emphasizes the consolidation of the literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse a range of challenging literary texts from various periods, countries, and cultures; interpret and evaluate informational and graphic texts; and create oral, written, and media texts in a variety of forms. An important focus will be on using academic language coherently and confidently, selecting the reading strategies best suited to particular texts and particular purposes for reading, and developing greater control in writing. The course is intended to prepare students for university, college, or the workplace.","Literacy, Communication, Critical Thinking, Creative Thinking, Reading Strategies, Writing Skills, Media Literacy, Oral Communication, Academic Language Proficiency, Textual Analysis, Evaluation of Information","English, Literature, Communications, Media Studies, Linguistics, Education, Creative Writing, Journalism, Rhetoric, Public Relations","Writer, Editor, Journalist, Public Relations Specialist, Communications Consultant, Teacher, Copywriter, Content Creator, Media Specialist, Publishing Professional"
ETS4U - Studies in Literature,"This course is for students with a special interest in literature and literary criticism. The course may focus on themes, genres, time periods, or countries. Students will analyse a range of forms and stylistic elements of literary texts and respond personally, critically, and creatively to them. They will also assess critical interpretations, write analytical essays, and complete an independent study project.","Literary Analysis, Critical Thinking, Creative Response, Writing Skills, Literary Criticism, Research, Essay Writing, Independent Study, Textual Analysis","English, Literature, Comparative Literature, Cultural Studies, Creative Writing, Philosophy, History, Education","Literary Critic, Editor, Teacher, Researcher, Writer, Journalist, Publishing Professional, Academic, Content Creator, Translator"
EWC4U - The Writer’s Craft,"This course emphasizes knowledge and skills related to the craft of writing. Students will analyse models of effective writing; use a workshop approach to produce a range of works; identify and use techniques required for specialized forms of writing; and identify effective ways to improve the quality of their writing. They will also complete a major paper as part of a creative or analytical independent study project, and investigate opportunities for publication and for writing careers.","Writing Skills, Creative Writing, Analytical Writing, Editing, Research, Independent Study, Workshop Techniques, Peer Review, Writing Improvement, Publishing","English, Creative Writing, Journalism, Communications, Media Studies, Publishing, Professional Writing, Literature, Education","Writer, Editor, Journalist, Publisher, Content Creator, Copywriter, Technical Writer, Communications Specialist, Researcher, Creative Director"
FEF4U - Extended French,"This course further emphasizes the consolidation of communication skills required to interact in French for various purposes about concrete and abstract topics. Students will independently apply language learning strategies in a variety of real-life and personally relevant contexts in listening, speaking, reading, and writing, and will broaden their creative and critical thinking skills through responding to and analysing oral and written texts. Students will increase their knowledge of the French language through the study of Canadian and international French literature. They will also enrich their understanding and appreciation of diverse French-speaking communities, and will develop skills necessary for lifelong language learning.","Language Learning, Listening, Speaking, Reading, Writing, Critical Thinking, Creative Thinking, Text Analysis, Cultural Appreciation, Independent Learning, Communication","French Studies, Linguistics, Translation, Education, International Studies, Cultural Studies, Communication, Literature","Translator, Interpreter, Language Teacher, Content Creator, Diplomat, Cultural Advisor, International Relations Specialist, Tourism Specialist, Bilingual Customer Service Representative"
FIF4U - French Immersion,"This course provides students with extensive opportunities to communicate, interact, and think critically and creatively in French. Students will consolidate their listening, speaking, reading, and writing skills and apply language learning strategies while communicating about concrete and abstract topics, and will independently respond to and interact with a variety of oral and written texts. Students will study a selection of French literature from the Middle Ages to the present. They will also enrich their understanding and appreciation of diverse French-speaking communities, and will develop skills necessary for lifelong language learning.","Language Learning, Listening, Speaking, Reading, Writing, Critical Thinking, Creative Thinking, Text Analysis, Cultural Appreciation, Independent Learning, Communication","French Studies, Linguistics, Translation, Education, International Studies, Cultural Studies, Communication, Literature","Translator, Interpreter, Language Teacher, Content Creator, Diplomat, Cultural Advisor, International Relations Specialist, Tourism Specialist, Bilingual Customer Service Representative"
FSF3U / FSF4U - Core French,"This course provides extensive opportunities for students to speak and interact in French independently. Students will develop their listening, speaking, reading, and writing skills, apply language learning strategies in a wide variety of real-life situations, and develop their creative and critical thinking skills through responding to and interacting with a variety of oral and written texts. They will also enrich their understanding and appreciation of diverse French-speaking communities, and will develop skills necessary for lifelong language learning.","Language Learning, Listening, Speaking, Reading, Writing, Critical Thinking, Creative Thinking, Text Interaction, Cultural Appreciation, Independent Learning","French Studies, Linguistics, Education, International Studies, Cultural Studies, Communication, Literature","Translator, Interpreter, Language Teacher, Content Creator, Diplomat, Cultural Advisor, International Relations Specialist, Tourism Specialist, Bilingual Customer Service Representative"
HFA4U - Nutrition and Health,"This course examines the relationships between food, energy balance, and nutritional status; the nutritional needs of individuals at different stages of life; and the role of nutrition in health and disease. Students will evaluate nutrition-related trends and will determine how food choices can promote food security and environmental responsibility. Students will learn about healthy eating, expand their repertoire of food-preparation techniques, and develop their social science research skills by investigating issues related to nutrition and health.","Nutritional Analysis, Food Preparation, Research Skills, Critical Thinking, Social Science Research, Health Evaluation, Food Security Awareness, Environmental Responsibility","Nutrition, Dietetics, Public Health, Kinesiology, Food Science, Health Science, Environmental Science, Sociology","Nutritionist, Dietitian, Health Educator, Food Scientist, Public Health Specialist, Social Researcher, Environmental Consultant, Healthcare Worker, Wellness Coach"
HHG4M - Human Development throughout the Lifespan,"This course offers a multidisciplinary approach to the study of human development throughout the lifespan. Students will learn about a range of theoretical perspectives on human development. They will examine threats to healthy development as well as protective factors that promote resilience. Students will learn about physical, cognitive, and social-emotional development from the prenatal period through old age and will develop their research and inquiry skills by investigating issues related to human development.","Research Skills, Inquiry Skills, Critical Thinking, Developmental Analysis, Resilience Building, Cognitive Development, Social-Emotional Development, Lifespan Analysis","Psychology, Sociology, Social Work, Human Development, Nursing, Education, Public Health, Gerontology","Psychologist, Social Worker, Counselor, Educator, Researcher, Health Specialist, Child Development Specialist, Gerontologist, Healthcare Worker"
HHS4U - Families in Canada,"This course enables students to draw on sociological, psychological, and anthropological theories and research to analyse the development of individuals, intimate relationships, and family and parent-child relationships. Students will focus on issues and challenges facing individuals and families in Canada’s diverse society. They will develop analytical tools that enable them to assess various factors affecting families and to consider policies and practices intended to support families in Canada. They will develop the investigative skills required to conduct and communicate the results of research on individuals, intimate relationships, and parent-child relationships.","Analytical Skills, Research Skills, Investigative Skills, Critical Thinking, Communication Skills, Policy Analysis, Family Dynamics Analysis, Sociological and Psychological Analysis","Sociology, Psychology, Anthropology, Social Work, Family Studies, Human Development, Public Health, Education, Social Policy","Sociologist, Psychologist, Family Therapist, Social Worker, Researcher, Counselor, Educator, Policy Analyst, Family Support Worker"
HNB4M - The World of Fashion,"This course gives students the opportunity to explore the world of fashion. Students will learn how to create a fashion product using various tools, techniques and technologies while developing their practical skills. Students will learn about various factors that affect the global fashion industry, the needs of specialized markets, and the impact of fibre and fabric production and care. In addition, they will learn about social and historical influences on fashion. Students will apply research skills when investigating aspects of the fashion world.","Practical Skills, Research Skills, Design Skills, Technical Skills, Critical Thinking, Problem Solving, Fabric and Fibre Knowledge, Fashion Product Creation","Fashion Design, Textile Science, Fashion Marketing, Merchandising, Fashion Technology, Art and Design, Industrial Design, Cultural Studies","Fashion Designer, Textile Scientist, Fashion Merchandiser, Fashion Buyer, Fashion Consultant, Product Developer, Costume Designer, Fashion Researcher, Trend Forecaster, Fashion Stylist"
HSB4U - Challenge and Change in Society,"This course focuses on the use of social science theories, perspectives, and methodologies to investigate and explain shifts in knowledge, attitudes, beliefs, and behaviour and their impact on society. Students will critically analyse how and why cultural, social, and behavioural patterns change over time. They will explore the ideas of social theorists and use those ideas to analyse causes of and responses to challenges such as technological change, deviance, and global inequalities. Students will explore ways in which social science research methods can be used to study social change.","Critical Thinking, Analytical Skills, Research Skills, Social Science Methodologies, Behavioral Analysis, Sociological Analysis, Problem Solving, Theoretical Application","Sociology, Social Science, Anthropology, Psychology, Political Science, Social Work, Criminology, Global Studies, Gender Studies","Sociologist, Social Worker, Research Analyst, Policy Analyst, Criminologist, Public Health Researcher, Social Science Educator, Global Development Specialist, Behavior Analyst"
HSC4M - World Cultures,"This course examines the nature of culture; how cultural identities are acquired, maintained, and transformed; and theories used to analyse cultures. Students will explore world cultures, with an emphasis on the analysis of religious and spiritual beliefs, art forms, and philosophy. They will study the contributions and influence of a range of cultural groups and will critically analyse issues facing ethnocultural groups within Canada and around the world. Students will develop and apply research skills and will design and implement a social action initiative relating to cultural diversity.","Cultural Analysis, Critical Thinking, Research Skills, Social Action Planning, Problem Solving, Cross-Cultural Communication, Theoretical Application, Sociological Analysis","Cultural Studies, Anthropology, Sociology, History, Religious Studies, Philosophy, Global Studies, Social Work, Political Science, International Relations","Cultural Anthropologist, Sociologist, Policy Analyst, Diversity Consultant, Social Action Organizer, International Relations Specialist, Cultural Researcher, Community Outreach Coordinator, Educator, Ethnographer"
HSE4M - Equity and Social Justice: From Theory to Practice,"This course enables students to develop an understanding of the theoretical, social, and historical underpinnings of various equity and social justice issues and to analyse strategies for bringing about positive social change. Students will learn about historical and contemporary equity and social justice issues in Canada and globally. They will explore power relations and the impact of a variety of factors on equity and social justice. Students will develop and apply research skills and will design and implement a social action initiative relating to an equity or social justice issue.","Critical Thinking, Research Skills, Social Justice Advocacy, Social Change Strategy, Power Relations Analysis, Problem Solving, Equity Analysis, Community Engagement, Social Action Planning, Public Speaking","Social Justice Studies, Sociology, Political Science, History, Gender Studies, Law, Social Work, Human Rights, Global Studies, Public Policy","Social Justice Advocate, Community Organizer, Policy Analyst, Human Rights Specialist, Social Researcher, Public Policy Consultant, Nonprofit Leader, Equity Consultant, Social Work Practitioner, Activist"
HZT4U - Philosophy: Questions and Theories,"This course enables students to acquire an understanding of the nature of philosophy and philosophical reasoning skills and to develop and apply their knowledge and skills while exploring specialized branches of philosophy (the course will cover at least three of the following branches: metaphysics, ethics, epistemology, philosophy of science, social and political philosophy, aesthetics). Students will develop critical thinking and philosophical reasoning skills as they formulate and evaluate arguments related to a variety of philosophical questions and theories. They will also develop research and inquiry skills related to the study and practice of philosophy.","Philosophical Reasoning, Critical Thinking, Argument Formulation, Ethical Analysis, Research Skills, Inquiry Skills, Analytical Thinking, Conceptual Analysis, Problem-Solving, Debate Skills","Philosophy, Political Science, Ethics, History, Law, Sociology, Cognitive Science, Religious Studies, Logic, Psychology","Philosopher, Ethics Consultant, Political Theorist, Law Professor, Academic Researcher, Public Policy Analyst, Corporate Ethics Officer, Human Rights Advocate, Legislative Assistant, Political Analyst"
ICS3U / ICS4U - Computer Science,"This course enables students to further develop knowledge and skills in computer science. Students will use modular design principles to create complex and fully documented programs, according to industry standards. Student teams will manage a large software development project, from planning through to project review. Students will also analyse algorithms for effectiveness. They will investigate ethical issues in computing and further explore environmental issues, emerging technologies, areas of research in computer science, and careers in the field.","Modular Design, Software Development, Programming, Project Management, Algorithm Analysis, Ethical Reasoning, Critical Thinking, Problem Solving, Team Collaboration, Documentation, Research Skills","Computer Science, Software Engineering, Information Technology, Artificial Intelligence, Data Science, Cybersecurity, Computer Engineering, Systems Engineering, Applied Computing, Information Systems","Software Developer, Systems Analyst, Project Manager, Data Scientist, Computer Programmer, Software Engineer, IT Consultant, Cybersecurity Specialist, Research Scientist, Technical Writer"
IDC4U/IDP4U - Interdisciplinary Studies,"This course will help students develop and consolidate the skills required for and knowledge of different subjects and disciplines to solve problems, make decisions, create personal meaning, and present findings beyond the scope of a single subject or discipline. Students will apply the principles and processes of inquiry and research to effectively use a range of print, electronic, and mass media resources; to analyse historical innovations and exemplary research; and to investigate real-life situations and career opportunities in interdisciplinary endeavours. They will also assess their own cognitive and affective strategies, apply general skills in both familiar and new contexts, create innovative products, and communicate new knowledge.","Problem Solving, Decision Making, Research Skills, Inquiry Process, Critical Thinking, Communication Skills, Cognitive Strategy Assessment, Creative Thinking, Innovation, Media Literacy, Interdisciplinary Thinking, Self-reflection","Interdisciplinary Studies, Cognitive Science, Research Methodology, Liberal Arts, Humanities, Social Sciences, Communications, Innovation Studies, Information Science, Education, Business","Research Analyst, Consultant, Educator, Project Manager, Policy Advisor, Media Specialist, Communications Specialist, Innovation Consultant, Data Scientist, Entrepreneur"
LVV4U - Classical Civilization,"This course introduces students to the rich cultural legacy of the Classical world and encourages them to make connections between antiquity and other societies and to their own personal experiences. Students will investigate such aspects of Classical culture as its mythology and literature, art, architecture, philosophy, science, and technology, as well as elements of the ancient Greek and Latin languages. By reading Classical authors in English translation and examining material culture brought to light through archaeology, students will enhance both their communication skills and their ability to think critically and creatively. In addition, they will be encouraged to be culturally sensitive, independent learners who appreciate the interconnectedness of ancient and modern societies and who will be able to apply this understanding to their future endeavours.","Critical Thinking, Creative Thinking, Communication Skills, Cultural Sensitivity, Independent Learning, Research Skills, Analytical Thinking, Interdisciplinary Thinking, Problem Solving","Classical Studies, Archaeology, History, Philosophy, Literature, Anthropology, Cultural Studies, Linguistics, Art History, Humanities","Historian, Archaeologist, Museum Curator, Educator, Archaeological Consultant, Writer, Translator, Cultural Heritage Specialist, Museum Educator, Researcher"
MCR3U - Functions,"This course introduces the mathematical concept of the function by extending students experiences with linear and quadratic relations. Students will investigate properties of discrete and continuous functions, including trigonometric and exponential functions; represent functions numerically, algebraically, and graphically; solve problems involving applications of functions; investigate inverse functions; and develop facility in determining equivalent algebraic expressions. Students will reason mathematically and communicate their thinking as they solve multi-step problems.","Mathematical Reasoning, Problem Solving, Algebraic Manipulation, Graphical Representation, Logical Thinking, Communication of Mathematical Ideas, Multi-step Problem Solving, Critical Thinking, Analytical Thinking","Mathematics, Engineering, Physics, Computer Science, Actuarial Science, Economics, Data Science, Statistics, Finance, Applied Mathematics","Mathematician, Engineer, Data Analyst, Financial Analyst, Computer Scientist, Actuary, Researcher, Statistician, Economist, Software Developer"
